Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/02/2024,12.8,25.3,0,,,SW,33,14:57,17,77,,WNW,11,,23.8,54,,SW,17,
2/02/2024,15.1,22,0,,,WSW,31,10:53,17,63,,WSW,15,,20.9,55,,SW,13,
3/02/2024,9.4,33.8,0,,,SE,26,17:50,18,62,,NNE,7,,31.1,21,,WNW,6,
4/02/2024,12.1,36.9,0,,,NNE,50,15:49,21.7,60,,NE,2,,36.1,21,,NW,20,
5/02/2024,19.1,20,0,,,SSW,28,7:05,19.5,81,,SW,9,,16.7,81,,S,11,
6/02/2024,10.3,21.7,2.2,,,SW,31,14:42,16.5,60,,S,9,,19,52,,SSW,17,
7/02/2024,8.4,24,0,,,SSW,33,17:17,17.2,69,,SSE,9,,22,45,,SE,11,
8/02/2024,11.7,26.3,0,,,S,28,17:42,16,77,,SE,7,,24.9,48,,WSW,7,
9/02/2024,15.7,23.7,0,,,S,30,16:42,17.4,84,,S,9,,22.5,50,,SSW,11,
10/02/2024,13.7,29.5,0,,,SSW,22,16:18,15.7,79,,SSE,4,,27.4,45,,NNE,2,
11/02/2024,15.3,32.9,0,,,NNE,35,9:42,23.4,57,,NNE,13,,31.4,39,,NNE,15,
12/02/2024,,,,,,,,,25.8,52,,NNE,11,,35.2,32,,NNW,19,
13/02/2024,19.2,36.2,,,,NE,72,14:05,30.1,44,,NNE,17,,32.6,40,,NNE,33,
14/02/2024,12.4,20.6,5.8,,,SW,31,11:58,13.3,92,,SSE,2,,19,47,,SW,15,
15/02/2024,6.7,23.8,,,,,,,15,69,,SSE,7,,22.3,41,,SE,11,
16/02/2024,10.2,24.6,,,,,,,14.3,79,, ,Calm,,23.6,57,,SSW,11,
17/02/2024,11.3,25.3,,,,,,,15.5,89,, ,Calm,,24.2,56,,SSE,9,
18/02/2024,12.1,24.9,,,,S,30,17:43,17.1,79,,S,4,,24.3,51,,S,7,
19/02/2024,15.4,25.3,0,,,S,41,11:36,17.2,71,,S,6,,24,54,,S,11,
20/02/2024,13.3,33.6,0,,,,,,18.7,80,,NNE,4,,30.9,39,,NNE,11,
21/02/2024,18.6,32.6,,,,NNE,35,8:54,22.8,62,,NNE,9,,31.8,36,,N,7,
22/02/2024,22.8,36,0,,,NNE,48,10:41,26.8,51,,NNE,20,,35,33,,N,22,
23/02/2024,16.5,20.9,3,,,SW,35,14:41,17.7,66,,WSW,15,,19.4,53,,SW,17,
24/02/2024,14.1,22.5,0.4,,,S,30,12:33,15.9,62,,SSW,11,,21.2,49,,SSE,9,
25/02/2024,10.3,30,0,,,SW,31,18:54,16.6,73,,NNE,9,,29,30,,NW,11,
26/02/2024,15.1,22.3,1.2,,,S,30,12:33,16.3,86,,SE,6,,21.2,48,,S,13,
27/02/2024,10.1,33,0,,,S,19,18:30,14.7,78,,NNE,9,,30.4,40,,NNW,2,
28/02/2024,14.5,34.6,0,,,NNE,50,16:22,27,42,,NNE,13,,29.8,48,,NE,15,
29/02/2024,16.8,26.6,0,,,WSW,26,5:36,18.9,76,,W,7,,25.5,48,,SSW,11,
