Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/08/2023,9.8,14.7,0,,,WSW,26,13:01,11.1,89,,W,11,,14.1,58,,W,7,
2/08/2023,3.5,17.2,0,,,N,33,13:30,8.6,82,,NE,7,,16.2,60,,NNE,17,
3/08/2023,8.7,19.9,0,,,NNE,46,13:32,14.7,65,,NNE,17,,19.6,42,,NNE,22,
4/08/2023,14.7,18.8,0,,,NNE,57,11:09,16.8,56,,NNE,20,,16.1,67,,NNE,24,
5/08/2023,6.7,13.3,0,,,SW,30,11:51,9.4,83,, ,Calm,,13.1,61,,SSW,11,
6/08/2023,7.4,13.8,0.2,,,WSW,19,16:11,9.5,95,,W,6,,12.4,76,,SSW,9,
7/08/2023,7.4,14.9,0,,,SSW,20,13:30,10.4,76,,SSE,2,,13.8,57,,SSE,9,
8/08/2023,,16.2,,,,,,,5.1,99,,NNE,4,,15.2,63,,SSE,2,
9/08/2023,4.9,,0,,,,,,11.4,72,,NE,13,,17.5,50,,N,20,
10/08/2023,8.9,13.9,,,,N,52,3:16,10.9,82,,WNW,9,,13.1,60,,SW,13,
11/08/2023,9.5,15.5,0,,,N,24,16:44,10.8,79,,N,6,,13.6,57,,N,11,
12/08/2023,9.6,14.8,0.2,,,N,26,10:27,10.6,83,,NNE,9,,12.7,81,,NNW,6,
13/08/2023,6.2,13.4,3.8,,,SSE,22,16:27,9.1,96,,NNE,2,,12.8,65,,SSE,6,
14/08/2023,1.7,11.9,0.2,,,WSW,20,12:31,4.8,99,,N,4,,11.7,65,,SW,6,
15/08/2023,-0.1,14,0,,,SSW,17,14:35,4.8,99,,NNE,7,,12.8,58,,SSE,7,
16/08/2023,-0.8,14.7,0.2,,,,,,6.8,82,,NNE,7,,14.2,47,,NNE,15,
17/08/2023,6.7,12.5,,,,NNE,33,12:12,10.2,67,,NNE,15,,12,61,,NNE,15,
18/08/2023,8,12.8,8,,,SW,46,14:32,8.9,87,,WNW,11,,10.3,65,,SW,22,
19/08/2023,7.7,13.9,7.2,,,W,26,23:57,8.7,96,,N,6,,11.7,92,,NE,13,
20/08/2023,8.7,17.6,0,,,W,24,0:17,12.2,81,,W,7,,17.1,49,,NW,13,
21/08/2023,10.3,18.3,0,,,N,37,13:15,14,75,,NE,17,,15.7,68,,NNE,17,
22/08/2023,11.7,14.5,0.2,,,WNW,33,10:42,14.5,78,,WSW,9,,12.5,88,,SW,6,
23/08/2023,4.4,16.4,7.4,,,NW,22,12:36,9.1,80,,NNE,11,,14.9,58,,NNW,4,
24/08/2023,8,16.6,0,,,NNE,37,14:49,11.3,76,,NNE,15,,15.8,56,,N,19,
25/08/2023,10.4,19.8,0,,,NNW,33,10:51,13.5,68,,NNE,15,,19.4,47,,NW,11,
26/08/2023,9.9,15.2,0,,,SSE,20,11:03,11.4,74,,SSE,9,,14.6,69,,SSW,2,
27/08/2023,7.5,18.1,0,,,S,17,16:31,9.8,87,, ,Calm,,17.4,67,,SSE,6,
28/08/2023,6.5,18.6,0,,,S,20,15:24,9.4,96,,NNE,6,,16.9,72,,SSW,11,
29/08/2023,8.4,18.7,0.4,,,NE,44,21:34,15.2,76,,NE,19,,16.1,77,,NE,17,
30/08/2023,12,14,7.8,,,NNE,43,1:01,12,96,,SSW,2,,13.4,70,,SW,13,
31/08/2023,6.4,15.8,2.4,,,W,30,15:12,9.3,81,,NNE,9,,14,86,,W,11,
