Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/11/2023,9.7,15.7,0,,,SW,28,15:18,12.8,62,,SSW,13,,14.1,66,,SW,15,
2/11/2023,7.5,17.4,0,,,S,30,14:48,12.2,69,,SSW,7,,16.4,58,,S,9,
3/11/2023,11,17.4,0,,,SSW,26,15:57,11.9,76,,S,9,,15.2,63,,SW,11,
4/11/2023,8.2,21.4,0,,,SSE,35,14:35,12.2,77,,S,6,,20.1,50,,SSE,15,
5/11/2023,6.8,24.9,0,,,SSE,31,23:01,13.9,75,,NE,2,,24,48,,E,7,
6/11/2023,9.3,28.9,0,,,NNE,37,8:19,20.3,53,,NNE,17,,27.3,38,,NE,15,
7/11/2023,13.4,30.5,0,,,NNE,41,14:18,21.4,64,,S,6,,29.8,35,,NNE,17,
8/11/2023,17.3,30.5,3.4,,,NW,37,13:37,23.5,54,,WNW,4,,28.6,36,,N,19,
9/11/2023,13.4,24.1,2.4,,,S,30,16:32,15,91,,SSE,6,,22.9,64,,S,7,
10/11/2023,13.7,32,0,,,NE,33,16:54,21.7,75,, ,Calm,,30.7,28,,N,17,
11/11/2023,18.1,20.4,0,,,,,,18.4,75,,SW,19,,19.3,55,,S,11,
12/11/2023,8.6,19.6,,,,SSW,35,15:49,13.8,61,,SW,7,,17.7,58,,SW,20,
13/11/2023,10.7,21.3,0.8,,,SW,28,8:42,14.4,65,,S,9,,20.1,49,,WSW,17,
14/11/2023,10.5,17,0.6,,,SW,20,14:30,12.3,84,, ,Calm,,16.2,63,,WSW,9,
15/11/2023,9.7,19.8,0.2,,,SSW,26,17:02,15.4,65,,ESE,4,,19.3,53,,S,9,
16/11/2023,10.7,18.2,1.8,,,SW,39,18:42,12.6,93,,S,7,,17.4,56,,SW,22,
17/11/2023,9.1,17.8,1.2,,,S,26,13:18,13.3,73,,SE,7,,16.1,59,,SSW,9,
18/11/2023,11.1,22,0,,,SSW,30,13:25,13.8,70,,SSW,6,,20.9,55,,SW,19,
19/11/2023,8,25.9,0,,,SSW,26,14:23,12.8,91,,NE,4,,25.3,44,,SSW,13,
20/11/2023,12.7,20.3,0,,,SE,22,12:26,14.4,84,,S,6,,18.3,68,,SSE,9,
21/11/2023,13.7,21.1,0,,,WSW,33,14:39,15.6,84,,S,6,,19.6,67,,SW,11,
22/11/2023,12.7,22.7,0,,,S,30,17:01,15.5,70,,S,11,,21.9,53,,S,11,
23/11/2023,14.3,27.9,0,,,SSE,31,17:45,16.9,77,,NW,2,,26.7,51,,SE,9,
24/11/2023,14.7,28.4,0,,,N,31,13:00,20.4,74,, ,Calm,,25.4,51,,NNE,13,
25/11/2023,17.1,27.2,15.8,,,N,37,12:20,22.4,78,,N,11,,24.7,48,,NW,17,
26/11/2023,14.9,20.4,16.2,,,WSW,24,11:35,15,96,,WSW,7,,17.8,80,,WSW,13,
27/11/2023,13.4,17.6,2.4,,,SSW,20,16:10,14.4,93,,SSW,9,,17,76,,SW,11,
28/11/2023,13,26.4,0.4,,,SE,31,16:35,14.7,94,,ENE,4,,25.7,56,,SSE,11,
29/11/2023,14.5,18.6,1.8,,,SE,56,15:53,16.4,93,,SE,17,,18.1,80,,SE,20,
30/11/2023,13.7,17.8,4.4,,,SSE,41,2:59,15.9,84,,SSE,13,,17.1,73,,SSE,15,
