Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/07/2023,8.9,13.3,0.6,,,WSW,30,13:12,9.6,93,,W,7,,12.4,78,,WSW,11,
2/07/2023,8.4,12.4,1,,,WSW,13,11:44,9.8,97,, ,Calm,,12.1,82,, ,Calm,
3/07/2023,5.4,12.8,0.4,,,NNE,15,11:54,7.9,92,,NNE,6,,12.7,71,,NNE,4,
4/07/2023,7.1,13.4,0,,,N,11,7:44,11.1,80,,NNE,2,,13.2,81,, ,Calm,
5/07/2023,10.3,12.5,2.8,,,N,24,14:41,10.5,96,, ,Calm,,12.3,71,,N,11,
6/07/2023,9,14.9,0.2,,,NNE,48,13:16,10.6,81,,NNE,9,,13.7,56,,NNE,19,
7/07/2023,8.6,14.6,1.6,,,N,43,21:07,10.1,81,,N,6,,14.2,56,,NNW,15,
8/07/2023,9.3,14.3,1.6,,,N,57,4:00,10.3,75,,N,15,,13.2,53,,NW,22,
9/07/2023,8.8,15.7,1.6,,,W,37,18:37,10.5,93,,NNE,7,,15,68,,WNW,20,
10/07/2023,10.5,16,1.4,,,NW,33,13:55,11.9,74,,N,7,,15.4,57,,NNW,15,
11/07/2023,10.4,16.8,0.2,,,,,,11.5,90,,NE,7,,15.8,62,,W,7,
12/07/2023,9.3,16.4,,,,N,35,12:08,11.6,83,,NNE,9,,15.6,55,,N,7,
13/07/2023,9,15.3,0,,,NNE,46,13:56,11.7,69,,NNE,13,,14.5,58,,NNE,24,
14/07/2023,11.5,15,0,,,NNE,44,15:43,11.8,70,,N,9,,14.2,57,,NNE,24,
15/07/2023,9.9,13.1,0,,,NNE,26,1:00,10.8,67,,NNE,4,,11.1,77,,SW,9,
16/07/2023,2.7,14.2,0.4,,,WSW,20,13:24,7.4,83,,NE,6,,13.3,61,,SW,9,
17/07/2023,3.1,16.2,0,,,N,28,13:30,7.6,82,,NNE,6,,15.9,42,,N,9,
18/07/2023,4.6,13.1,0,,,N,37,10:14,10.4,69,,N,11,,12.3,70,,W,19,
19/07/2023,2.7,13.2,2,,,NNE,20,23:48,6.7,87,,NE,6,,12.6,55,,NE,4,
20/07/2023,4.2,12.6,0,,,N,50,12:11,8.4,68,,NNE,19,,10.8,69,,NNE,15,
21/07/2023,4.4,13.2,2.6,,,WSW,22,13:42,7.1,93,,N,2,,12.8,57,,WSW,11,
22/07/2023,4.8,14.4,0,,,NNE,26,13:31,8,83,,NNE,7,,12.9,57,,N,7,
23/07/2023,6.3,11.5,0,,,WSW,22,14:42,9.3,81,, ,Calm,,10.1,92,,SSW,9,
24/07/2023,4.4,11.4,1.8,,,NE,15,11:36,8.4,92,,NE,6,,10.7,93,,NE,6,
25/07/2023,8.4,14.4,0.6,,,NNE,11,9:50,10.2,97,, ,Calm,,13.8,62,, ,Calm,
26/07/2023,3,14.3,0,,,N,20,11:01,8.7,88,,NNW,4,,13.6,63,,N,2,
27/07/2023,1.8,16.8,0,,,NNE,43,12:52,10.2,73,,NNE,19,,16.4,56,,NNE,20,
28/07/2023,10.2,17.3,10,,,NNE,48,0:52,12.2,85,,NNE,15,,16.4,66,,NNE,15,
29/07/2023,10,17.1,0,,,N,41,11:30,12.1,86,,NNE,11,,16.9,60,,N,17,
30/07/2023,10.2,16.5,0,,,W,46,18:35,12.9,67,,NNE,11,,15.7,61,,N,19,
31/07/2023,7.7,15.8,6.4,,,NNW,37,16:05,10.9,74,,NNE,6,,15.3,58,,N,19,
