Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/12/2023,13.4,24,2.2,,,SE,35,14:43,16.5,85,,S,13,,22.4,63,,SSE,15,
2/12/2023,15,16.2,4.4,,,SSW,31,10:48,15.6,97,,S,9,,15.2,96,,SSW,11,
3/12/2023,13.3,24.3,11,,,SE,31,17:39,15.6,88,,S,9,,23.1,56,,SSE,11,
4/12/2023,11.5,31.2,0,,,NNE,31,12:29,19.8,68,,NNE,13,,29.8,36,,N,17,
5/12/2023,,,,,,,,,20.5,70,,SSW,2,,26.6,50,,SSW,11,
6/12/2023,,24,,,,,,,17.5,69,,SSE,7,,23.3,49,,S,11,
7/12/2023,10.1,28.3,0,,,SW,17,16:41,15.1,79,,SSE,6,,24.7,47,,SSW,4,
8/12/2023,14.9,32.5,0,,,NNE,69,14:21,21.8,67,,NNE,15,,31.8,41,,NNE,26,
9/12/2023,16.7,17.5,5,,,S,26,18:15,16.9,96,,SE,4,,15.7,95,,S,7,
10/12/2023,13.4,20.8,8.2,,,SSE,26,1:51,14.9,92,,SSW,7,,19.6,79,,S,2,
11/12/2023,14.9,21.9,1.6,,,SSW,28,4:47,18.1,97,,S,7,,18.7,95,,SW,9,
12/12/2023,17.9,32.5,0,,,SSE,26,15:37,19.2,94,, ,Calm,,30.7,61,,SSE,11,
13/12/2023,19.1,34.2,0,,,WSW,43,21:21,30.6,48,,NNE,20,,27.2,62,,NNE,17,
14/12/2023,14.7,25.4,3,,,WSW,35,14:47,17.8,68,,W,13,,23.9,49,,WSW,17,
15/12/2023,10.9,24.1,0.2,,,WSW,33,16:25,16.9,70,,NW,4,,22.4,40,,W,9,
16/12/2023,12.2,22.4,0,,,WNW,35,12:21,16.1,60,,WNW,11,,21.6,43,,W,17,
17/12/2023,9.7,25.7,0,,,W,31,13:28,17,63,,SW,6,,23.4,45,,SW,19,
18/12/2023,13.6,25.8,0,,,NNE,33,12:04,21.7,56,,NE,13,,24.7,44,,NNE,11,
19/12/2023,14.4,17.6,2,,,S,30,18:27,15.2,91,,S,2,,15.8,71,,SSE,9,
20/12/2023,9.5,22.5,1.8,,,SE,43,20:57,14.7,55,,SSE,13,,21.5,50,,SSE,11,
21/12/2023,13.5,25.1,0,,,SE,41,18:58,19.9,61,,SE,15,,24.1,48,,SE,15,
22/12/2023,13.4,24.4,0,,,ESE,37,6:22,18.5,48,,SE,13,,23.5,44,,SSE,15,
23/12/2023,9.4,26.5,0,,,S,35,16:55,16.4,67,,NNW,4,,25.8,45,,SSE,9,
24/12/2023,10.7,26.8,0,,,SSE,37,17:48,17.5,75,,NE,4,,24.8,48,,SSE,11,
25/12/2023,15.4,21.6,10.4,,,SSE,33,15:37,17.6,87,, ,Calm,,16.2,93,,E,4,
26/12/2023,15.7,23.8,20,,,SSE,39,11:49,21.5,77,,SE,11,,16.7,90,,NE,4,
27/12/2023,16.3,25.9,3.2,,,WSW,30,14:18,19.4,82,,SE,6,,24.5,66,,SW,19,
28/12/2023,16.8,22,0,,,SW,28,16:47,17.1,95,,SSW,11,,21.1,72,,SW,9,
29/12/2023,11.3,21.5,0.2,,,SW,33,15:03,15.8,67,,SSE,4,,20.5,52,,SW,11,
30/12/2023,13.7,19.6,0.2,,,WSW,37,12:03,14.8,75,,WSW,17,,18.9,54,,SW,17,
31/12/2023,12.5,22.6,1.2,,,SSW,31,14:42,16.9,53,,SE,9,,21.9,49,,SSE,11,
