Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/06/2023,10.6,14.6,4.4,,,N,35,0:20,12.6,79,,W,9,,13.2,56,,SW,11,
2/06/2023,3,13.9,0,,,NNE,20,13:38,5.3,96,, ,Calm,,13,62,,NNE,7,
3/06/2023,5.3,15.3,3.6,,,SSE,19,18:38,10.7,97,, ,Calm,,14.1,86,,SSW,6,
4/06/2023,6.1,19.3,0.2,,,NE,13,9:48,9.3,99,,NE,6,,18.5,68,,SSE,4,
5/06/2023,7.1,19.8,0,,,NE,37,12:44,10.3,98,, ,Calm,,18.9,60,,NNE,7,
6/06/2023,,17.6,0.2,,,,,,15.7,79,,NNE,11,,16.4,78,,NNE,17,
7/06/2023,13.9,18.3,1.4,,,NE,43,18:45,16.3,79,,NNE,17,,16.5,81,,NNE,19,
8/06/2023,12.7,16.6,11.6,,,NNE,39,18:41,13,94,,NE,6,,14.8,63,,N,15,
9/06/2023,8.4,14.5,7.8,,,N,43,1:01,10.5,73,,N,6,,14,47,,NW,13,
10/06/2023,7.1,14.2,0,,,N,35,11:35,9.6,80,,NNE,9,,14,64,,N,17,
11/06/2023,9.5,15.8,0,,,NNE,19,12:17,11.7,79,,NE,9,,14.4,57,,NNE,9,
12/06/2023,10.2,15,0,,,NNE,31,15:45,11,68,,NE,9,,13.8,60,,NE,15,
13/06/2023,10,13.8,0,,,NNE,37,2:28,11.6,80,,NNE,13,,13.2,67,,N,17,
14/06/2023,8,14.7,2,,,W,31,13:57,9.7,84,,NNE,7,,13,76,,NNW,6,
15/06/2023,8.3,14,0.4,,,NNE,33,10:21,12,79,,NNE,17,,13.9,77,,N,11,
16/06/2023,10.7,17.5,0.2,,,N,44,15:16,11.7,73,,NNE,9,,16.9,47,,N,22,
17/06/2023,11,16.4,0,,,NNE,50,12:21,11.9,61,,NNE,13,,15.7,48,,N,26,
18/06/2023,6.5,13.9,7.4,,,N,46,23:49,8.5,84,,NE,9,,13.7,53,,NNW,13,
19/06/2023,6.7,11.3,12.6,,,N,43,3:00,6.8,95,,NNE,7,,6.6,85,,SSW,17,
20/06/2023,3.6,11.4,2.4,,,NNE,15,9:47,6,91,, ,Calm,,10.8,66,,SSW,7,
21/06/2023,2.8,11.8,0,,,NW,24,14:03,6,86,,NE,7,,10,62,,N,6,
22/06/2023,4.6,13.9,0,,,NNE,43,18:10,7.2,88,, ,Calm,,12.4,60,,NE,6,
23/06/2023,7,10.9,1,,,NNE,26,3:10,9.5,80,,NNE,11,,10,75,,NNE,11,
24/06/2023,7.7,15,0.6,,,NNE,48,13:08,10.5,80,,NNE,15,,13.5,59,,NNE,22,
25/06/2023,7.7,12.2,0.4,,,N,43,17:55,9,64,,NNE,19,,10.7,71,,N,19,
26/06/2023,8.9,13.9,0.8,,,W,35,11:49,12.1,70,,WNW,15,,11.6,89,,W,6,
27/06/2023,6.4,13.8,2.6,,,NNW,31,13:16,8.8,85,,NNE,7,,12.1,72,,N,15,
28/06/2023,8.4,11.9,0,,,N,30,0:08,9.8,85,,N,7,,9.6,95,,SSW,7,
29/06/2023,4.6,11.8,5.6,,,NW,30,18:05,6.2,88,,NNE,7,,11.4,70,,WNW,11,
30/06/2023,6.1,13.9,0,,,W,35,18:37,11.1,79,,NNW,6,,13.4,78,,WNW,7,
