Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/04/2023,8.7,16.4,3.6,,,S,30,11:55,10.4,92,,SSW,2,,15.8,48,,SSE,9,
2/04/2023,5.1,20.7,0,,,SSW,26,15:21,12.3,76,, ,Calm,,20.1,47,,WSW,7,
3/04/2023,6.9,24.6,0,,,NE,20,14:14,13.2,84,,NNE,6,,23.6,47,,NE,7,
4/04/2023,10.1,27.4,0,,,NE,28,11:17,18.8,66,,NNE,9,,23.7,57,,SW,11,
5/04/2023,14.1,18.5,0,,,SSW,15,14:39,15.5,83,,S,4,,17.9,72,,S,9,
6/04/2023,11.5,25.5,0,,,NNE,35,13:08,17.6,78,, ,Calm,,23.7,47,,NNE,15,
7/04/2023,14.8,19.5,3.4,,,NNE,31,12:25,18.5,74,,N,6,,18.9,60,,NW,15,
8/04/2023,12.9,18,12.6,,,SW,44,18:00,14.6,88,,WNW,7,,16.4,62,,WSW,17,
9/04/2023,9.5,16.3,11.2,,,WSW,39,12:28,12.4,73,,SSW,9,,13,67,,WSW,20,
10/04/2023,10.1,15.4,2.6,,,SW,30,16:01,12.3,80,,SSW,9,,13.3,75,,SW,15,
11/04/2023,8.8,20.7,0.2,,,NNE,15,23:32,11.9,95,,NNE,6,,19.1,61,,S,4,
12/04/2023,11.5,17.9,3.6,,,NNE,35,12:23,12.9,88,,NNE,19,,17.3,71,,NE,15,
13/04/2023,7.8,22.1,1,,,SE,26,15:18,14.6,87,,SSW,6,,21.4,61,,SSE,13,
14/04/2023,8.4,24.4,0.2,,,NE,22,23:43,12.2,100,,ENE,4,,23.9,52,,NNE,7,
15/04/2023,12,21.5,0,,,N,48,10:45,19.3,55,,NNE,24,,18.8,68,,N,11,
16/04/2023,11.8,16.5,54.8,,,SW,43,16:47,12,97,,WSW,11,,15.5,75,,SW,19,
17/04/2023,7.2,18.7,2.8,,,NE,22,16:28,13.4,72,,NNE,9,,17.8,66,,NNE,7,
18/04/2023,13,22.2,0,,,NNE,35,12:35,16.5,73,,NNE,11,,21.8,54,,N,13,
19/04/2023,12.8,16.9,2.8,,,WSW,37,11:59,13.7,82,,NW,6,,15.4,65,,SSW,11,
20/04/2023,5.8,18.9,0.2,,,SW,19,14:41,12.1,76,,NNE,7,,18,53,,WSW,11,
21/04/2023,9.6,17.7,0,,,W,11,12:26,14.7,81,,NNE,4,,17.4,72,, ,Calm,
22/04/2023,14.2,19.7,0,,,SSW,20,16:22,14.5,90,, ,Calm,,19.1,67,,S,6,
23/04/2023,11.1,20.3,0,,,ESE,24,14:10,15.7,84,,SSW,6,,19.4,61,,SSE,11,
24/04/2023,8.9,24.4,0,,,,,,16.4,80,,NNE,6,,24.2,51,,N,11,
25/04/2023,,,,,,,,,,,,,,,,,,,,
26/04/2023,,23.6,,,,,,11:11,19.4,66,,NNE,11,,23.4,52,,NE,13,
27/04/2023,,21.9,,,,NNE,46,15:28,20.4,52,,NNE,17,,21.6,56,,NNE,20,
28/04/2023,16.6,21.8,0.8,,,WSW,37,13:27,18.5,65,,N,13,,15.3,77,,SW,13,
29/04/2023,6.3,15.5,9.8,,,SSE,19,14:57,10.8,84,,N,4,,13,70,,SSE,11,
30/04/2023,2.1,16.6,0.6,,,S,20,12:50,7,97,,NE,2,,16.3,59,,S,7,
