Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/09/2023,9.2,15.2,2,,,SW,20,13:23,11.1,88,,SW,2,,13.5,64,,SSW,7,
2/09/2023,1.5,18.1,0,,,NNE,22,12:17,6.8,97,,NNE,7,,18,56,, ,Calm,
3/09/2023,3.5,19.1,0.2,,,NE,31,11:32,12.1,76,,NNE,11,,18.6,47,,NNE,15,
4/09/2023,11.5,22.4,0,,,NNE,56,10:05,17.8,45,,NNE,22,,20.8,41,,N,13,
5/09/2023,6.4,13.9,12.4,,,WSW,48,12:16,8,90,,N,4,,11.8,69,,W,13,
6/09/2023,4.2,18.2,1.2,,,NNE,48,11:38,12.1,59,,NNE,13,,16.9,50,,NNE,20,
7/09/2023,11.9,22.5,0,,,NNE,61,16:33,18.1,43,,NNE,19,,22.3,31,,NNE,17,
8/09/2023,8.3,10.9,7.6,,,WNW,56,13:15,9.8,74,,NNW,19,,10.3,73,,WNW,20,
9/09/2023,5.5,13.8,3.4,,,WNW,37,13:36,8.6,74,,NW,9,,12.4,56,,W,13,
10/09/2023,8.6,14.4,0.2,,,SW,20,12:59,10.8,79,,NE,6,,13.4,68,,SW,9,
11/09/2023,8.1,16.2,0,,,SSW,13,16:16,11.4,85,, ,Calm,,15.5,55,,SW,6,
12/09/2023,9,22.7,0,,,W,26,12:53,15.4,61,,NNE,11,,21.9,39,,WSW,15,
13/09/2023,6.3,24.4,0,,,NNE,22,13:12,15.4,68,,NNE,6,,23.4,39,,NW,7,
14/09/2023,9.4,23.9,0,,,NE,31,11:57,18,61,,NNE,13,,22.9,42,,N,15,
15/09/2023,15.6,24.1,0,,,NE,35,1:02,17.9,53,,WNW,4,,22.2,47,,SW,9,
16/09/2023,8.1,23.6,0,,,N,46,15:38,17.4,51,,N,11,,23.2,44,,N,19,
17/09/2023,9.2,22.7,0,,,NW,30,11:19,17.4,59,,NW,7,,20.7,50,,SSW,7,
18/09/2023,12.3,20.7,0,,,SSW,20,3:22,13.8,84,,NNE,4,,17.1,70,,SSW,11,
19/09/2023,12.8,26.1,0,,,N,41,17:08,20.3,50,,WNW,15,,25,46,,N,17,
20/09/2023,12,17.6,2.6,,,W,50,16:19,13.4,76,,W,17,,15.3,39,,W,19,
21/09/2023,5.5,15.6,1.6,,,SW,30,13:04,11,73,,W,11,,15.1,56,,SW,13,
22/09/2023,3.1,15.8,,,,,,,11.5,70,,SSW,2,,15.7,53,,S,6,
23/09/2023,3,19.8,0,,,SW,26,15:03,10.4,72,,NNW,4,,18.2,56,,SW,17,
24/09/2023,5.5,23.1,0,,,NE,33,14:29,15.7,69,,NNE,7,,22.3,47,,NNE,15,
25/09/2023,15.5,22.9,0,,,SW,33,12:02,18.1,58,,SW,2,,19.2,61,,SW,17,
26/09/2023,7.3,19.3,0,,,WSW,28,13:48,11.7,71,,S,9,,17.4,60,,SSW,13,
27/09/2023,10.6,18,0,,,WSW,30,14:09,11.9,82,,W,7,,16.9,55,,SW,17,
28/09/2023,7.9,21.2,0,,,SSW,19,15:00,13,70,,W,4,,20.1,52,,S,7,
29/09/2023,7.9,27.3,0,,,NNE,28,10:48,16.4,52,,NNE,13,,26.7,18,,SW,7,
30/09/2023,12.3,,0,,,,,,22.1,35,,NNE,17,,28.1,21,,N,17,
