Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/04/2024,11.3,28.3,0,,,NW,33,16:49,16.3,75,,NE,2,,20.4,77,,NE,15,
2/04/2024,14,20.5,71.2,,,W,44,13:38,14.3,94,,N,4,,17.6,83,,W,11,
3/04/2024,9.7,15.3,4.8,,,WSW,22,10:56,12.7,85,,N,2,,13.5,94,,SE,4,
4/04/2024,5.6,19.1,4.2,,,SSE,31,10:19,10,99,, ,Calm,,17.9,51,,SE,13,
5/04/2024,8.7,22.4,0,,,SW,24,16:37,11.4,82,,NE,6,,21.3,59,,SSE,11,
6/04/2024,11.4,20.7,0,,,SSE,22,14:00,15,88,,NE,4,,19.7,63,,SSE,13,
7/04/2024,15,19.4,2.2,,,SW,19,8:48,15.9,97,,SW,9,,19,82,,S,7,
8/04/2024,12.7,20,10.4,,,WSW,30,17:05,14.6,86,,N,6,,19.1,51,,W,7,
9/04/2024,8.5,17.4,40.2,,,SW,43,15:49,13,84,,S,4,,15.3,60,,SW,19,
10/04/2024,11,17.5,1.4,,,SW,33,15:13,13.6,84,,WNW,7,,16.8,65,,SW,17,
11/04/2024,12.5,19,3.4,,,WSW,24,16:14,14.5,89,,SW,2,,17.6,51,,WSW,9,
12/04/2024,7.2,16.1,0.8,,,W,13,12:34,11.6,96,,NNE,4,,15.9,73,,W,4,
13/04/2024,8.1,18.6,1.8,,,S,13,17:06,12.5,90,, ,Calm,,18,58,,NW,2,
14/04/2024,7.1,19,0,,,WSW,17,15:04,11.7,92,,NE,4,,18.4,63,,SSW,9,
15/04/2024,7.3,20.9,0,,,WSW,19,13:42,13.3,83,,NNE,7,,20.1,55,,WSW,9,
16/04/2024,9.5,18.3,0,,,SW,22,14:25,13.5,86,,N,2,,17.4,70,,SSE,7,
17/04/2024,7.6,17.6,0,,,SSW,22,15:27,11.6,97,, ,Calm,,17,64,,SSW,9,
18/04/2024,8,16.9,0.2,,,W,30,11:24,11.6,96,,NNW,4,,15.7,60,,WNW,7,
19/04/2024,11,18.6,10.2,,,SSE,28,14:29,13.8,89,,S,4,,17,67,,SE,11,
20/04/2024,4.9,17.9,0,,,WSW,24,16:57,9.7,99,, ,Calm,,17.1,59,,SSE,7,
21/04/2024,6.9,,0,,,,,,11.6,84,,NE,4,,16.9,60,,WSW,7,
