Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/10/2023,20,21.4,,,,,,,21.3,33,,W,20,,19,48,,SW,22,
2/10/2023,3.1,28.4,,,,,,,11.3,74,,NNE,2,,24.5,33,,NNE,19,
3/10/2023,11.2,17.9,3.2,,,NW,54,2:58,18,87,,NNW,17,,15.5,92,,S,2,
4/10/2023,9.5,12.3,47.4,,,S,35,16:02,10.4,95,,SSE,9,,11.6,82,,S,15,
5/10/2023,7.8,15.2,2.2,,,,,,11,75,,W,13,,13.8,62,,W,9,
6/10/2023,,15.3,,,,,,,11.9,65,,S,11,,13.8,57,,SSW,13,
7/10/2023,5.2,15.1,,,,,,,10.7,69,,SSE,2,,14.2,55,,SSE,11,
8/10/2023,,17.6,,,,,,,12.4,69,, ,Calm,,17,58,,SW,9,
9/10/2023,4.8,16.6,,,,SW,24,15:14,11.2,81,, ,Calm,,16.5,58,,SSW,11,
10/10/2023,9.7,,0,,,SSW,30,12:15,11.6,78,, ,Calm,,,,,S,9,
11/10/2023,4.3,25.2,0,,,NE,37,22:06,14.2,72,,NNE,13,,24.9,39,,N,15,
12/10/2023,13.8,15.7,1,,,NNE,44,3:12,13.8,93,,SW,7,,14.1,72,,W,19,
13/10/2023,9.8,16.6,22,,,W,33,14:07,11.7,83,,WNW,9,,15.8,72,,W,19,
14/10/2023,10.9,18.7,1,,,WSW,43,16:23,13.1,67,,NW,13,,18.2,57,,W,20,
15/10/2023,10.2,17.2,0.2,,,NW,31,12:01,12.1,79,,N,9,,15.9,53,,WSW,11,
16/10/2023,8.4,,11.6,,,SW,56,12:16,9.2,93,,SW,6,,14.2,58,,SW,26,
17/10/2023,6.1,18.3,3.2,,,WSW,26,15:42,11,78,, ,Calm,,16.1,57,,S,11,
18/10/2023,6.4,23.4,0,,,,,,12.3,79,,N,7,,22.4,49,,N,9,
19/10/2023,,,,,,,,,,,,,,,24.4,38,,N,11,
20/10/2023,13.4,,,,,,,,20.9,54,,NE,13,,26.8,36,,NNE,7,
21/10/2023,,23.2,,,,WSW,41,17:53,23,42,,NNE,17,,20.3,61,,SW,6,
22/10/2023,10.1,13.9,0.6,,,WNW,52,12:51,10.9,88,,N,13,,13.3,81,,W,15,
23/10/2023,10.2,17.8,2.8,,,NW,35,0:23,11.2,79,,WNW,9,,14,74,,NNE,2,
24/10/2023,11.1,25.3,0,,,NW,57,12:24,17.6,51,,NNE,22,,24.7,30,,NW,26,
25/10/2023,7.6,13.6,0,,,SW,48,12:51,10.3,65,,W,13,,12.4,62,,WSW,15,
26/10/2023,3.5,14.6,,,,,,,9.7,87,,SSW,13,,13.9,58,,SSW,13,
27/10/2023,4.2,20.9,,,,SW,24,12:55,12.9,67,,SSE,11,,19.9,49,,SE,7,
28/10/2023,6.7,21.2,0,,,NNE,46,14:55,15.7,55,,NNE,15,,19.9,46,,NNE,24,
29/10/2023,5.8,,0,,,,,,14.7,74,,S,4,,23,50,,SW,15,
30/10/2023,11.9,22.7,,,,WNW,50,15:29,14.9,68,,NNW,6,,21.6,37,,NW,24,
31/10/2023,8,17.3,3.6,,,W,50,23:45,11.9,65,,W,17,,15.7,54,,WSW,17,
