Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/01/2024,10.5,28.7,0,,,S,31,16:31,16.6,73,,NW,4,,27.6,49,,SSW,13,
2/01/2024,16.5,31.4,0,,,NE,46,20:08,19.5,83,,N,7,,28,57,,SSE,13,
3/01/2024,15.9,28.4,12.2,,,S,26,19:31,18.8,95,, ,Calm,,26.2,73,,S,9,
4/01/2024,16.8,24.5,2,,,SW,30,16:28,17.6,88,,SSW,6,,23.4,70,,SW,15,
5/01/2024,13.7,28.9,0,,,SSE,30,17:40,19.5,84,,N,4,,28,59,,S,13,
6/01/2024,14.1,32.4,0,,,SSE,24,16:38,21.3,74,,N,4,,31.3,44,,ESE,2,
7/01/2024,21.3,26.1,0,,,NE,39,8:24,25.4,55,,NNE,11,,20.1,91,,NNE,17,
8/01/2024,19.6,20.4,50.8,,,WSW,26,12:51,20.4,97,,W,6,,18.6,98,,SW,13,
9/01/2024,14.9,26.5,25.4,,,SSE,22,5:40,19.3,81,,SSE,7,,24.7,60,,SE,6,
10/01/2024,15.7,29.2,0,,,WSW,35,10:23,22.7,75,,NNE,7,,22.5,73,,SSW,15,
11/01/2024,13.5,26.4,0,,,SE,31,11:43,18.2,70,,SE,7,,25.6,54,,SSE,11,
12/01/2024,13.7,34.5,0,,,N,30,11:48,18.9,83,,N,7,,33,50,,WNW,9,
13/01/2024,,,0,,,S,28,12:00,,,,S,7,,,,,SSW,11,
14/01/2024,,,0.6,,,SE,33,19:35,,,,SSE,7,,,,,S,17,
15/01/2024,15.5,29.6,0,,,SSE,31,16:56,20.4,77,,NW,4,,28.2,52,,SE,4,
16/01/2024,19.1,30.6,0.8,,,NE,39,10:11,23.8,60,,NNE,15,,29.6,45,,NE,19,
17/01/2024,19.9,21.5,2.2,,,NE,33,6:32,19.9,91,,W,9,,18,87,,S,7,
18/01/2024,13,21.8,14.8,,,W,48,14:01,16.2,67,,NW,19,,20.4,60,,W,20,
19/01/2024,13.1,21.5,2.4,,,W,30,23:02,15.4,95,,SW,6,,16.5,88,,SW,6,
20/01/2024,11.2,26.9,0.2,,,NNE,33,16:51,17.1,73,,NNE,6,,24.3,46,,NNE,15,
21/01/2024,15.4,22,0,,,SW,37,13:22,17,79,,W,9,,20.2,63,,WSW,20,
22/01/2024,13.9,21.5,0,,,SSW,33,13:37,15.8,65,,S,9,,20.8,54,,SSE,9,
23/01/2024,10.2,31,0,,,N,22,10:33,15.2,84,,NNE,6,,28.1,48,,NNE,11,
24/01/2024,15,30.9,0.2,,,NNE,35,3:20,26.4,55,,N,2,,25.7,52,,SW,17,
25/01/2024,15.7,23.8,0,,,NNE,22,15:52,18.4,79,,ESE,2,,22.2,73,,NNE,7,
26/01/2024,14.7,22.3,7,,,W,41,9:59,17.5,72,,W,13,,21.2,50,,SW,13,
27/01/2024,9.4,24.3,0,,,WSW,35,15:55,15.5,73,,N,6,,23.1,46,,W,17,
28/01/2024,11.7,26.4,0,,,WSW,22,23:01,17.6,73,,NE,4,,24.2,54,,SSW,7,
29/01/2024,14.8,29.2,0,,,SW,31,11:59,20.8,77,,NNE,7,,28.3,48,,SSW,17,
30/01/2024,16.4,27.3,0,,,SSE,30,16:39,18.8,73,,SSE,11,,26.7,53,,SSW,13,
31/01/2024,12,23,0,,,SW,31,14:11,17.4,64,,SSE,7,,22,52,,S,11,
