Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/05/2023,4.8,17.4,0,,,WNW,17,14:02,11.5,82,,NE,2,,16.6,52,,W,4,
2/05/2023,10.8,20.1,0,,,NNW,30,14:27,13.2,80,,NNE,7,,18.7,56,,NNW,11,
3/05/2023,8.5,15.6,11.8,,,WNW,50,13:01,11.8,70,,NW,9,,12.4,80,,SW,15,
4/05/2023,7.7,16.9,3.6,,,NE,15,11:08,11.3,88,,NE,7,,14.9,60,,WNW,4,
5/05/2023,9.5,16.7,0,,,NNW,44,12:45,12.7,65,,NE,15,,15.3,58,,N,15,
6/05/2023,9.4,12.4,12.6,,,SSW,22,14:22,9.9,92,, ,Calm,,10.6,76,,SSW,4,
7/05/2023,5,12.9,3,,,S,37,12:12,7.3,95,, ,Calm,,12.3,52,,SSW,17,
8/05/2023,5.8,13.9,3,,,WSW,33,13:39,9.7,92,,W,7,,13.7,71,,W,15,
9/05/2023,9.4,14.5,19.2,,,SSW,28,15:44,10.7,96,,WSW,9,,13.4,86,,SW,13,
10/05/2023,9.1,14.4,4.8,,,SW,20,11:39,11.2,99,, ,Calm,,14.3,74,,SW,9,
11/05/2023,5.9,17.9,0.2,,,N,28,13:56,9.8,84,,NE,6,,17.4,56,,N,13,
12/05/2023,6.1,18,0,,,NE,20,9:05,12,78,,NNE,7,,16.3,63,,SW,7,
13/05/2023,6.5,17.8,0,,,S,13,15:15,9.3,99,, ,Calm,,17.4,68,,NE,2,
14/05/2023,5.9,20.2,0.2,,,NNE,22,15:05,10.2,94,, ,Calm,,19.7,52,,NNE,9,
15/05/2023,9.3,21.1,0,,,N,30,15:20,14.4,71,,NNE,9,,20.4,46,,N,13,
16/05/2023,8.9,13.7,5.2,,,WSW,35,8:28,11.6,96,,SSW,7,,13.3,53,,SW,15,
17/05/2023,,14.5,2.4,,,,,,7.2,97,, ,Calm,,13.9,49,,SE,9,
18/05/2023,2.7,14,0,,,SW,19,13:45,5.9,92,,NE,7,,12,74,,SW,11,
19/05/2023,4.6,15.1,0.2,,,W,26,12:44,9.2,93,,NNE,6,,14.4,70,,SW,11,
20/05/2023,7.3,14.5,2.4,,,WSW,37,17:01,8.7,91,, ,Calm,,13.5,68,,NW,11,
21/05/2023,8.5,14.6,9.4,,,WSW,46,6:22,10.9,94,,S,4,,13.6,59,,SW,19,
22/05/2023,6.8,15.3,0.2,,,W,24,11:50,9.8,81,,NNE,6,,15.1,59,,WSW,9,
23/05/2023,7.9,16.1,0,,,NW,26,13:42,10.9,80,,NNE,6,,15.4,58,,NNW,11,
24/05/2023,8.5,15.7,0,,,N,35,13:10,11.6,72,,NNE,15,,14.2,63,,N,13,
25/05/2023,11.5,14.9,0,,,NNE,41,3:10,12.9,59,,NNE,15,,10.6,88,,NNW,7,
26/05/2023,3,14,5.8,,,W,33,14:49,6.9,90,,NE,6,,11.7,76,,W,17,
27/05/2023,6.9,15.3,1,,,NW,26,13:17,9.9,81,,NNE,7,,14,54,,NW,9,
28/05/2023,9.5,14.6,7.2,,,WSW,26,17:15,10.2,95,,NNE,15,,13.7,85,,ENE,4,
29/05/2023,9.2,16.5,8.8,,,W,37,11:44,11.4,81,,N,9,,14.4,77,,NW,7,
30/05/2023,11.4,17.4,0.2,,,N,37,21:11,13.6,82,,N,7,,16.2,70,,N,15,
31/05/2023,13.5,16.7,0,,,N,50,21:51,14.9,80,,N,15,,16.1,70,,N,17,
